Web Search interest: 感冒
Worldwide 2004 - present

Interest over time
Week,感冒
2005-04-10 - 2005-04-16,32
2005-04-17 - 2005-04-23,26
2005-04-24 - 2005-04-30,29
2005-05-01 - 2005-05-07,21
2005-05-08 - 2005-05-14,29
2005-05-15 - 2005-05-21,27
2005-05-22 - 2005-05-28,29
2005-05-29 - 2005-06-04,30
2005-06-05 - 2005-06-11,28
2005-06-12 - 2005-06-18,30
2005-06-19 - 2005-06-25,31
2005-06-26 - 2005-07-02,30
2005-07-03 - 2005-07-09,27
2005-07-10 - 2005-07-16,26
2005-07-17 - 2005-07-23,29
2005-07-24 - 2005-07-30,28
2005-07-31 - 2005-08-06,33
2005-08-07 - 2005-08-13,29
2005-08-14 - 2005-08-20,30
2005-08-21 - 2005-08-27,33
2005-08-28 - 2005-09-03,31
2005-09-04 - 2005-09-10,35
2005-09-11 - 2005-09-17,28
2005-09-18 - 2005-09-24,32
2005-09-25 - 2005-10-01,31
2005-10-02 - 2005-10-08,30
2005-10-09 - 2005-10-15,38
2005-10-16 - 2005-10-22,35
2005-10-23 - 2005-10-29,45
2005-10-30 - 2005-11-05,41
2005-11-06 - 2005-11-12,38
2005-11-13 - 2005-11-19,34
2005-11-20 - 2005-11-26,36
2005-11-27 - 2005-12-03,39
2005-12-04 - 2005-12-10,41
2005-12-11 - 2005-12-17,40
2005-12-18 - 2005-12-24,49
2005-12-25 - 2005-12-31,53
2006-01-01 - 2006-01-07,34
2006-01-08 - 2006-01-14,37
2006-01-15 - 2006-01-21,29
2006-01-22 - 2006-01-28,21
2006-01-29 - 2006-02-04,22
2006-02-05 - 2006-02-11,35
2006-02-12 - 2006-02-18,29
2006-02-19 - 2006-02-25,29
2006-02-26 - 2006-03-04,33
2006-03-05 - 2006-03-11,29
2006-03-12 - 2006-03-18,32
2006-03-19 - 2006-03-25,35
2006-03-26 - 2006-04-01,32
2006-04-02 - 2006-04-08,30
2006-04-09 - 2006-04-15,34
2006-04-16 - 2006-04-22,28
2006-04-23 - 2006-04-29,26
2006-04-30 - 2006-05-06,21
2006-05-07 - 2006-05-13,23
2006-05-14 - 2006-05-20,26
2006-05-21 - 2006-05-27,28
2006-05-28 - 2006-06-03,25
2006-06-04 - 2006-06-10,24
2006-06-11 - 2006-06-17,29
2006-06-18 - 2006-06-24,27
2006-06-25 - 2006-07-01,26
2006-07-02 - 2006-07-08,28
2006-07-09 - 2006-07-15,28
2006-07-16 - 2006-07-22,34
2006-07-23 - 2006-07-29,42
2006-07-30 - 2006-08-05,41
2006-08-06 - 2006-08-12,35
2006-08-13 - 2006-08-19,33
2006-08-20 - 2006-08-26,36
2006-08-27 - 2006-09-02,26
2006-09-03 - 2006-09-09,28
2006-09-10 - 2006-09-16,36
2006-09-17 - 2006-09-23,33
2006-09-24 - 2006-09-30,30
2006-10-01 - 2006-10-07,22
2006-10-08 - 2006-10-14,36
2006-10-15 - 2006-10-21,29
2006-10-22 - 2006-10-28,30
2006-10-29 - 2006-11-04,32
2006-11-05 - 2006-11-11,34
2006-11-12 - 2006-11-18,36
2006-11-19 - 2006-11-25,34
2006-11-26 - 2006-12-02,30
2006-12-03 - 2006-12-09,36
2006-12-10 - 2006-12-16,38
2006-12-17 - 2006-12-23,42
2006-12-24 - 2006-12-30,55
2006-12-31 - 2007-01-06,48
2007-01-07 - 2007-01-13,45
2007-01-14 - 2007-01-20,42
2007-01-21 - 2007-01-27,38
2007-01-28 - 2007-02-03,38
2007-02-04 - 2007-02-10,38
2007-02-11 - 2007-02-17,25
2007-02-18 - 2007-02-24,19
2007-02-25 - 2007-03-03,33
2007-03-04 - 2007-03-10,30
2007-03-11 - 2007-03-17,33
2007-03-18 - 2007-03-24,36
2007-03-25 - 2007-03-31,34
2007-04-01 - 2007-04-07,42
2007-04-08 - 2007-04-14,37
2007-04-15 - 2007-04-21,32
2007-04-22 - 2007-04-28,31
2007-04-29 - 2007-05-05,28
2007-05-06 - 2007-05-12,30
2007-05-13 - 2007-05-19,29
2007-05-20 - 2007-05-26,26
2007-05-27 - 2007-06-02,25
2007-06-03 - 2007-06-09,27
2007-06-10 - 2007-06-16,31
2007-06-17 - 2007-06-23,39
2007-06-24 - 2007-06-30,32
2007-07-01 - 2007-07-07,36
2007-07-08 - 2007-07-14,35
2007-07-15 - 2007-07-21,34
2007-07-22 - 2007-07-28,41
2007-07-29 - 2007-08-04,36
2007-08-05 - 2007-08-11,38
2007-08-12 - 2007-08-18,33
2007-08-19 - 2007-08-25,33
2007-08-26 - 2007-09-01,33
2007-09-02 - 2007-09-08,32
2007-09-09 - 2007-09-15,35
2007-09-16 - 2007-09-22,38
2007-09-23 - 2007-09-29,34
2007-09-30 - 2007-10-06,29
2007-10-07 - 2007-10-13,39
2007-10-14 - 2007-10-20,43
2007-10-21 - 2007-10-27,43
2007-10-28 - 2007-11-03,42
2007-11-04 - 2007-11-10,47
2007-11-11 - 2007-11-17,47
2007-11-18 - 2007-11-24,53
2007-11-25 - 2007-12-01,52
2007-12-02 - 2007-12-08,48
2007-12-09 - 2007-12-15,48
2007-12-16 - 2007-12-22,48
2007-12-23 - 2007-12-29,58
2007-12-30 - 2008-01-05,52
2008-01-06 - 2008-01-12,50
2008-01-13 - 2008-01-19,47
2008-01-20 - 2008-01-26,45
2008-01-27 - 2008-02-02,44
2008-02-03 - 2008-02-09,31
2008-02-10 - 2008-02-16,44
2008-02-17 - 2008-02-23,55
2008-02-24 - 2008-03-01,47
2008-03-02 - 2008-03-08,48
2008-03-09 - 2008-03-15,46
2008-03-16 - 2008-03-22,50
2008-03-23 - 2008-03-29,44
2008-03-30 - 2008-04-05,37
2008-04-06 - 2008-04-12,34
2008-04-13 - 2008-04-19,36
2008-04-20 - 2008-04-26,35
2008-04-27 - 2008-05-03,30
2008-05-04 - 2008-05-10,37
2008-05-11 - 2008-05-17,37
2008-05-18 - 2008-05-24,29
2008-05-25 - 2008-05-31,29
2008-06-01 - 2008-06-07,30
2008-06-08 - 2008-06-14,26
2008-06-15 - 2008-06-21,30
2008-06-22 - 2008-06-28,31
2008-06-29 - 2008-07-05,33
2008-07-06 - 2008-07-12,35
2008-07-13 - 2008-07-19,44
2008-07-20 - 2008-07-26,44
2008-07-27 - 2008-08-02,40
2008-08-03 - 2008-08-09,39
2008-08-10 - 2008-08-16,37
2008-08-17 - 2008-08-23,36
2008-08-24 - 2008-08-30,38
2008-08-31 - 2008-09-06,40
2008-09-07 - 2008-09-13,40
2008-09-14 - 2008-09-20,44
2008-09-21 - 2008-09-27,47
2008-09-28 - 2008-10-04,40
2008-10-05 - 2008-10-11,49
2008-10-12 - 2008-10-18,52
2008-10-19 - 2008-10-25,49
2008-10-26 - 2008-11-01,47
2008-11-02 - 2008-11-08,48
2008-11-09 - 2008-11-15,56
2008-11-16 - 2008-11-22,58
2008-11-23 - 2008-11-29,63
2008-11-30 - 2008-12-06,69
2008-12-07 - 2008-12-13,64
2008-12-14 - 2008-12-20,58
2008-12-21 - 2008-12-27,60
2008-12-28 - 2009-01-03,53
2009-01-04 - 2009-01-10,57
2009-01-11 - 2009-01-17,50
2009-01-18 - 2009-01-24,47
2009-01-25 - 2009-01-31,33
2009-02-01 - 2009-02-07,52
2009-02-08 - 2009-02-14,45
2009-02-15 - 2009-02-21,44
2009-02-22 - 2009-02-28,44
2009-03-01 - 2009-03-07,48
2009-03-08 - 2009-03-14,54
2009-03-15 - 2009-03-21,58
2009-03-22 - 2009-03-28,58
2009-03-29 - 2009-04-04,54
2009-04-05 - 2009-04-11,56
2009-04-12 - 2009-04-18,49
2009-04-19 - 2009-04-25,39
2009-04-26 - 2009-05-02,41
2009-05-03 - 2009-05-09,43
2009-05-10 - 2009-05-16,40
2009-05-17 - 2009-05-23,37
2009-05-24 - 2009-05-30,33
2009-05-31 - 2009-06-06,37
2009-06-07 - 2009-06-13,33
2009-06-14 - 2009-06-20,33
2009-06-21 - 2009-06-27,32
2009-06-28 - 2009-07-04,34
2009-07-05 - 2009-07-11,38
2009-07-12 - 2009-07-18,44
2009-07-19 - 2009-07-25,43
2009-07-26 - 2009-08-01,50
2009-08-02 - 2009-08-08,49
2009-08-09 - 2009-08-15,53
2009-08-16 - 2009-08-22,55
2009-08-23 - 2009-08-29,54
2009-08-30 - 2009-09-05,51
2009-09-06 - 2009-09-12,50
2009-09-13 - 2009-09-19,52
2009-09-20 - 2009-09-26,45
2009-09-27 - 2009-10-03,38
2009-10-04 - 2009-10-10,46
2009-10-11 - 2009-10-17,51
2009-10-18 - 2009-10-24,58
2009-10-25 - 2009-10-31,69
2009-11-01 - 2009-11-07,80
2009-11-08 - 2009-11-14,96
2009-11-15 - 2009-11-21,86
2009-11-22 - 2009-11-28,100
2009-11-29 - 2009-12-05,100
2009-12-06 - 2009-12-12,80
2009-12-13 - 2009-12-19,62
2009-12-20 - 2009-12-26,67
2009-12-27 - 2010-01-02,65
2010-01-03 - 2010-01-09,62
2010-01-10 - 2010-01-16,61
2010-01-17 - 2010-01-23,57
2010-01-24 - 2010-01-30,54
2010-01-31 - 2010-02-06,49
2010-02-07 - 2010-02-13,38
2010-02-14 - 2010-02-20,34
2010-02-21 - 2010-02-27,51
2010-02-28 - 2010-03-06,49
2010-03-07 - 2010-03-13,48
2010-03-14 - 2010-03-20,52
2010-03-21 - 2010-03-27,50
2010-03-28 - 2010-04-03,48
2010-04-04 - 2010-04-10,43
2010-04-11 - 2010-04-17,43
2010-04-18 - 2010-04-24,40
2010-04-25 - 2010-05-01,37
2010-05-02 - 2010-05-08,32
2010-05-09 - 2010-05-15,35
2010-05-16 - 2010-05-22,30
2010-05-23 - 2010-05-29,30
2010-05-30 - 2010-06-05,29
2010-06-06 - 2010-06-12,30
2010-06-13 - 2010-06-19,26
2010-06-20 - 2010-06-26,29
2010-06-27 - 2010-07-03,28
2010-07-04 - 2010-07-10,34
2010-07-11 - 2010-07-17,34
2010-07-18 - 2010-07-24,35
2010-07-25 - 2010-07-31,37
2010-08-01 - 2010-08-07,37
2010-08-08 - 2010-08-14,36
2010-08-15 - 2010-08-21,37
2010-08-22 - 2010-08-28,35
2010-08-29 - 2010-09-04,36
2010-09-05 - 2010-09-11,41
2010-09-12 - 2010-09-18,43
2010-09-19 - 2010-09-25,42
2010-09-26 - 2010-10-02,41
2010-10-03 - 2010-10-09,41
2010-10-10 - 2010-10-16,40
2010-10-17 - 2010-10-23,39
2010-10-24 - 2010-10-30,39
2010-10-31 - 2010-11-06,43
2010-11-07 - 2010-11-13,43
2010-11-14 - 2010-11-20,43
2010-11-21 - 2010-11-27,40
2010-11-28 - 2010-12-04,38
2010-12-05 - 2010-12-11,39
2010-12-12 - 2010-12-18,37
2010-12-19 - 2010-12-25,41
2010-12-26 - 2011-01-01,46
2011-01-02 - 2011-01-08,50
2011-01-09 - 2011-01-15,54
2011-01-16 - 2011-01-22,56
2011-01-23 - 2011-01-29,48
2011-01-30 - 2011-02-05,33
2011-02-06 - 2011-02-12,38
2011-02-13 - 2011-02-19,33
2011-02-20 - 2011-02-26,32
2011-02-27 - 2011-03-05,31
2011-03-06 - 2011-03-12,32
2011-03-13 - 2011-03-19,31
2011-03-20 - 2011-03-26,32
2011-03-27 - 2011-04-02,33
2011-04-03 - 2011-04-09,29
2011-04-10 - 2011-04-16,30
2011-04-17 - 2011-04-23,29
2011-04-24 - 2011-04-30,26
2011-05-01 - 2011-05-07,22
2011-05-08 - 2011-05-14,22
2011-05-15 - 2011-05-21,23
2011-05-22 - 2011-05-28,22
2011-05-29 - 2011-06-04,24
2011-06-05 - 2011-06-11,20
2011-06-12 - 2011-06-18,20
2011-06-19 - 2011-06-25,20
2011-06-26 - 2011-07-02,21
2011-07-03 - 2011-07-09,21
2011-07-10 - 2011-07-16,22
2011-07-17 - 2011-07-23,22
2011-07-24 - 2011-07-30,23
2011-07-31 - 2011-08-06,23
2011-08-07 - 2011-08-13,22
2011-08-14 - 2011-08-20,25
2011-08-21 - 2011-08-27,27
2011-08-28 - 2011-09-03,27
2011-09-04 - 2011-09-10,27
2011-09-11 - 2011-09-17,25
2011-09-18 - 2011-09-24,32
2011-09-25 - 2011-10-01,32
2011-10-02 - 2011-10-08,29
2011-10-09 - 2011-10-15,30
2011-10-16 - 2011-10-22,32
2011-10-23 - 2011-10-29,31
2011-10-30 - 2011-11-05,33
2011-11-06 - 2011-11-12,31
2011-11-13 - 2011-11-19,34
2011-11-20 - 2011-11-26,34
2011-11-27 - 2011-12-03,34
2011-12-04 - 2011-12-10,35
2011-12-11 - 2011-12-17,36
2011-12-18 - 2011-12-24,41
2011-12-25 - 2011-12-31,45
2012-01-01 - 2012-01-07,40
2012-01-08 - 2012-01-14,37
2012-01-15 - 2012-01-21,33
2012-01-22 - 2012-01-28,27
2012-01-29 - 2012-02-04,40
2012-02-05 - 2012-02-11,37
2012-02-12 - 2012-02-18,39
2012-02-19 - 2012-02-25,43
2012-02-26 - 2012-03-03,44
2012-03-04 - 2012-03-10,45
2012-03-11 - 2012-03-17,47
2012-03-18 - 2012-03-24,45
2012-03-25 - 2012-03-31,44
2012-04-01 - 2012-04-07,38
2012-04-08 - 2012-04-14,35
2012-04-15 - 2012-04-21,32
2012-04-22 - 2012-04-28,31
2012-04-29 - 2012-05-05,28
2012-05-06 - 2012-05-12,30
2012-05-13 - 2012-05-19,33
2012-05-20 - 2012-05-26,34
2012-05-27 - 2012-06-02,33
2012-06-03 - 2012-06-09,32
2012-06-10 - 2012-06-16,32
2012-06-17 - 2012-06-23,29
2012-06-24 - 2012-06-30,31
2012-07-01 - 2012-07-07,31
2012-07-08 - 2012-07-14,33
2012-07-15 - 2012-07-21,35
2012-07-22 - 2012-07-28,50
2012-07-29 - 2012-08-04,33
2012-08-05 - 2012-08-11,33
2012-08-12 - 2012-08-18,34
2012-08-19 - 2012-08-25,25
2012-08-26 - 2012-09-01,18
2012-09-02 - 2012-09-08,17
2012-09-09 - 2012-09-15,18
2012-09-16 - 2012-09-22,21
2012-09-23 - 2012-09-29,20
2012-09-30 - 2012-10-06,19
2012-10-07 - 2012-10-13,21
2012-10-14 - 2012-10-20,21
2012-10-21 - 2012-10-27,19
2012-10-28 - 2012-11-03,19
2012-11-04 - 2012-11-10,19
2012-11-11 - 2012-11-17,19
2012-11-18 - 2012-11-24,20
2012-11-25 - 2012-12-01,21
2012-12-02 - 2012-12-08,22
2012-12-09 - 2012-12-15,24
2012-12-16 - 2012-12-22,24
2012-12-23 - 2012-12-29,27
2012-12-30 - 2013-01-05,27
2013-01-06 - 2013-01-12,27
2013-01-13 - 2013-01-19,26
2013-01-20 - 2013-01-26,25
2013-01-27 - 2013-02-02,23
2013-02-03 - 2013-02-09,20
2013-02-10 - 2013-02-16,18
2013-02-17 - 2013-02-23,21
2013-02-24 - 2013-03-02,20
2013-03-03 - 2013-03-09,22
2013-03-10 - 2013-03-16,21
2013-03-17 - 2013-03-23,21
2013-03-24 - 2013-03-30,22
2013-03-31 - 2013-04-06,22
2013-04-07 - 2013-04-13,24
2013-04-14 - 2013-04-20,23
2013-04-21 - 2013-04-27,20
2013-04-28 - 2013-05-04,20
2013-05-05 - 2013-05-11,20
2013-05-12 - 2013-05-18,17
2013-05-19 - 2013-05-25,16
2013-05-26 - 2013-06-01,15
2013-06-02 - 2013-06-08,16
2013-06-09 - 2013-06-15,15
2013-06-16 - 2013-06-22,15
2013-06-23 - 2013-06-29,15
2013-06-30 - 2013-07-06,15
2013-07-07 - 2013-07-13,17
2013-07-14 - 2013-07-20,16
2013-07-21 - 2013-07-27,17
2013-07-28 - 2013-08-03,18
2013-08-04 - 2013-08-10,19
2013-08-11 - 2013-08-17,19
2013-08-18 - 2013-08-24,18
2013-08-25 - 2013-08-31,17
2013-09-01 - 2013-09-07,19
2013-09-08 - 2013-09-14,20
2013-09-15 - 2013-09-21,20
2013-09-22 - 2013-09-28,23
2013-09-29 - 2013-10-05,22
2013-10-06 - 2013-10-12,23
2013-10-13 - 2013-10-19,23
2013-10-20 - 2013-10-26,24
2013-10-27 - 2013-11-02,24
2013-11-03 - 2013-11-09,24
2013-11-10 - 2013-11-16,23
2013-11-17 - 2013-11-23,25
2013-11-24 - 2013-11-30,26
2013-12-01 - 2013-12-07,28
2013-12-08 - 2013-12-14,27
2013-12-15 - 2013-12-21,27
2013-12-22 - 2013-12-28,34
2013-12-29 - 2014-01-04,37
2014-01-05 - 2014-01-11,35
2014-01-12 - 2014-01-18,30
2014-01-19 - 2014-01-25,29
2014-01-26 - 2014-02-01,24
2014-02-02 - 2014-02-08,26
2014-02-09 - 2014-02-15,24
2014-02-16 - 2014-02-22,24
2014-02-23 - 2014-03-01,24
2014-03-02 - 2014-03-08,26
2014-03-09 - 2014-03-15,25
2014-03-16 - 2014-03-22,24
2014-03-23 - 2014-03-29,23
2014-03-30 - 2014-04-05,22
2014-04-06 - 2014-04-12,22
2014-04-13 - 2014-04-19,21
2014-04-20 - 2014-04-26,22
2014-04-27 - 2014-05-03,20
2014-05-04 - 2014-05-10,20
2014-05-11 - 2014-05-17,20
2014-05-18 - 2014-05-24,19
2014-05-25 - 2014-05-31,18
2014-06-01 - 2014-06-07,13
2014-06-08 - 2014-06-14,14
2014-06-15 - 2014-06-21,12
2014-06-22 - 2014-06-28,11
2014-06-29 - 2014-07-05,10
2014-07-06 - 2014-07-12,11
2014-07-13 - 2014-07-19,12
2014-07-20 - 2014-07-26,11
2014-07-27 - 2014-08-02,10
2014-08-03 - 2014-08-09,12
2014-08-10 - 2014-08-16,11
2014-08-17 - 2014-08-23,12
2014-08-24 - 2014-08-30,11
2014-08-31 - 2014-09-06,10
2014-09-07 - 2014-09-13,12
2014-09-14 - 2014-09-20,14
2014-09-21 - 2014-09-27,13
2014-09-28 - 2014-10-04,14
2014-10-05 - 2014-10-11,16
2014-10-12 - 2014-10-18,17
2014-10-19 - 2014-10-25,15
2014-10-26 - 2014-11-01,16
2014-11-02 - 2014-11-08,15
2014-11-09 - 2014-11-15,15
2014-11-16 - 2014-11-22,17
2014-11-23 - 2014-11-29,15
2014-11-30 - 2014-12-06,18
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,21
2014-12-21 - 2014-12-27,23
2014-12-28 - 2015-01-03,22
2015-01-04 - 2015-01-10,23
2015-01-11 - 2015-01-17,22
2015-01-18 - 2015-01-24,22
2015-01-25 - 2015-01-31,21
2015-02-01 - 2015-02-07,19
2015-02-08 - 2015-02-14,20
2015-02-15 - 2015-02-21,17
2015-02-22 - 2015-02-28,18
2015-03-01 - 2015-03-07,18
2015-03-08 - 2015-03-14,18
2015-03-15 - 2015-03-21,17
2015-03-22 - 2015-03-28,18
2015-03-29 - 2015-04-04,17
2015-04-05 - 2015-04-11,18
2015-04-12 - 2015-04-18,18
2015-04-19 - 2015-04-25,17
2015-04-26 - 2015-05-02,16
2015-05-03 - 2015-05-09,14
2015-05-10 - 2015-05-16,15
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,15
2015-05-31 - 2015-06-06,16
2015-06-07 - 2015-06-13,17
2015-06-14 - 2015-06-20,15
2015-06-21 - 2015-06-27,16
2015-06-28 - 2015-07-04,14
2015-07-05 - 2015-07-11,13
2015-07-12 - 2015-07-18,13
2015-07-19 - 2015-07-25,12
2015-07-26 - 2015-08-01,13
2015-08-02 - 2015-08-08,12
2015-08-09 - 2015-08-15,13
2015-08-16 - 2015-08-22,14
2015-08-23 - 2015-08-29,14
2015-08-30 - 2015-09-05,14
2015-09-06 - 2015-09-12,16
2015-09-13 - 2015-09-19,17
2015-09-20 - 2015-09-26,18
2015-09-27 - 2015-10-03,17
2015-10-04 - 2015-10-10,18
2015-10-11 - 2015-10-17,21
2015-10-18 - 2015-10-24,19
2015-10-25 - 2015-10-31,19
2015-11-01 - 2015-11-07,20
2015-11-08 - 2015-11-14,18
2015-11-15 - 2015-11-21,20
2015-11-22 - 2015-11-28,20
2015-11-29 - 2015-12-05,20
2015-12-06 - 2015-12-12,22
2015-12-13 - 2015-12-19,22
2015-12-20 - 2015-12-26,25
2015-12-27 - 2016-01-02,24
2016-01-03 - 2016-01-09,23
2016-01-10 - 2016-01-16,22
2016-01-17 - 2016-01-23,24
2016-01-24 - 2016-01-30,25
2016-01-31 - 2016-02-06,26
2016-02-07 - 2016-02-13,26
2016-02-14 - 2016-02-20,33
2016-02-21 - 2016-02-27,32
2016-02-28 - 2016-03-05,30
2016-03-06 - 2016-03-12,28
2016-03-13 - 2016-03-19,27
2016-03-20 - 2016-03-26,26
2016-03-27 - 2016-04-02,25
2016-04-03 - 2016-04-09,21
2016-04-10 - 2016-04-16,21
2016-04-17 - 2016-04-23,19
2016-04-24 - 2016-04-30,18
2016-05-01 - 2016-05-07,19
2016-05-08 - 2016-05-14,18
2016-05-15 - 2016-05-21,19
2016-05-22 - 2016-05-28,17
2016-05-29 - 2016-06-04,17
2016-06-05 - 2016-06-11,15
2016-06-12 - 2016-06-18,15
2016-06-19 - 2016-06-25,16
2016-06-26 - 2016-07-02,15
2016-07-03 - 2016-07-09,15
2016-07-10 - 2016-07-16,15
2016-07-17 - 2016-07-23,15
2016-07-24 - 2016-07-30,16
2016-07-31 - 2016-08-06,16


Top regions for 感冒
Region,感冒
China,100
Taiwan,88
Macau,78
Hong Kong,44
Singapore,6
Malaysia,4
New Zealand,2
Japan,2
Australia,2
Canada,1
South Korea,1


Top cities for 感冒
City,感冒
Xitun District (Taiwan),100
Dongguan (China),99
Da’an District (Taiwan),99
Xiamen (China),95
Zhongli District (Taiwan),93
Qingdao (China),93
Fuzhou (China),93
Foshan (China),92
Sanmin District (Taiwan),92
Shenzhen (China),91
Banqiao District (Taiwan),88
Neihu District (Taiwan),87
Suzhou (China),85
Hangzhou (China),85
Changsha (China),83



Top searches for 感冒
感冒药,100
感冒了,90
感冒怎么办,90
感冒吃什么,80
咳嗽,70
感冒咳嗽,70
宝宝感冒,45
孕妇,45
孕妇感冒,45
感冒症状,40
感冒发烧,40
热感冒,40
感冒藥,35
感冒病毒,35
病毒感冒,35
风寒感冒,30
治感冒,25
小孩感冒,20
风热感冒,20
感冒鼻塞,20
鼻塞,20
流行感冒,15
感冒茶,15
感冒症狀,15
腸胃型感冒,15
流感,15
感冒水果,10
感冒英文,10
感冒發燒,10
感冒薬,10
感冒吃什麼,10
喉嚨痛,10
日本感冒藥,10
感冒喉嚨痛,10
狗感冒,10
熱感冒,10
狗狗感冒,10
伤风感冒,10
重感冒,10
肠胃感冒,5
普通感冒,5
懷孕感冒,5
容易感冒,5
腸感冒,5
夏天感冒,5



Rising searches for 感冒
宝宝感冒,+800%
感冒了,+600%
感冒吃什么,+600%
感冒藥,+600%
小孩感冒,+300%
感冒怎么办,+300%
感冒鼻塞,+190%
咳嗽,+120%
感冒咳嗽,+100%
风寒感冒,+50%



